ID,TR,EN,DE,RU,GLUTEN,MILK,EGG,FISH
16,BALIK  FİLORANTİN,FISH FLORANTINE,FISCH FLORANTIN,РЫБНЫЙ ФЛОРАНТИН,0,0,0,0
17,BALIK  IZGARA,GRILLED FISH,GEGRILLTE FISCH,РЫБА НА ГРИЛЕ,0,0,0,0
18,SOMON IZGARA,GRILLED SALMON ,GEGRILLTE LACHSE,ЛОСОСЬ НА ГРИЛЕ,0,0,0,0
19,BALIK  PANE,BREADED FISH,PANIERTE FISCH,ПАНИРОВАННАЯ РЫБА ,0,0,0,0
20,BALIK BUĞLAMA,STEAMED FISH,GEDUNSTETES FISCH ,РЫБА НА ПАРУ ,0,0,0,0
21,BALIK BUĞLAMA İSTANBUL USULÜ,STEAMED FISH ISTANBUL STYLE,GEDUNSTETE FISCH ISTANBUL STIL,РЫБА НА ПАРУ ПО-СТАМБУЛСКИ,0,0,0,0
22,BALIK ÇORBASI,FISH SOUP,FISCH SUPPE,РЫБНЫЙ СУП,0,0,0,0
23,BALIK HAMBURGER,FISHBURGER,FISCHBURGER,ГАМБУРГЕР ИЗ РЫБЫ,0,0,0,0
24,BONFRİT,CHIPS,POMMES,БОНФРИТ,0,0,0,0
25,BALIK KÖFTESİ SEBZELİ SAFRAN SOSLU,FISH BALLS WITH SAFFRON SAUCE,FISCH FRIKADELLE MIT SAFRAN SOβE,РЫБНЫЕ КОТЛЕТЫ C ОВОЩАМИ И ШАФРАНОВЫМ СОУСОМ,0,0,0,0
26,BALIK LİMONLU D.OTU SOSLU,FISH WITH LEMON & HERB SAUCE,FISCH MIT DILL,РЫБА С ЛИМОННЫМ СОУСОМ И УКРОПОМ,0,0,0,0
27,BALIK PANE,FISH IN BREADCRUMBS,PANIERTE FISCH,РЫБНОЕ ПАНЕ,0,0,0,0
28,BALIK TAVA,PAN FRIED FISH,FISCH GEBRATEN ,ЖАРЕНАЯ РЫБА ,0,0,0,0
29,BALIK PRENSES,FISH PRINCESS,FISCH PRINCESS,РЫБА PRINCESS,0,0,0,0
30,BARBUN IZGARA,GRILLED RED MULLET,GEGRILLTE MEERBARBEN,БАРАБУЛЬКА- ГРИЛЬ,0,0,0,0
31,BEĞENDİLİ KEBABI,AUBERGINE PUREE KEBAB,AUBERGINE PÜREE KEBAB,ШАШЛЫК С БАКЛАЖАНHЫМ ПЮРЕ,0,0,0,0
32,BEYAZ ŞARAPLI BALIK BUĞLAMA,STEAMED FISH WITH WHITE WINE,GEDUNSTETES FISCH  MIT WEISS WEIN,РЫБА НА ПАРУ  С БЕЛЫМ ВИНОМ,0,0,0,0
33,BEZELYE ÇORBASI,PEA SOUP,ERBSEN SUPPE,СУП С ЗЕЛЁНЫМ  ГОРОШКОМ,0,0,0,0
34,BİBER DOLMA,STUFFEDGREEN PEPPER,"GEFULLTE PAPRIKA MİT FLEİSCH
",ФАРШИРОВАННЫЙ ПЕРЕЦ,0,0,0,0
35,BİFTEK,STEAK,STEAK,БИФШТЕКС,0,0,0,0
36,BOĞAZİÇİ ÇORBASI,TRADITIONAL SOUP FROM BOSPHORUS REGION,BOCPORUS SUPPE,"СУП ""БОСФОР""",0,0,0,0
37,BORSH ÇORBASI,BORSCHT SOUP,BORSCH SUPPE,БОРЩ,0,0,0,0
38,BÖBREK IZGARA,GRILLED KIDNEYS,GEGRILLTE NIERE,ПОЧКА-ГРИЛЬ,0,0,0,0
39,BROKOLİ HAŞLAMA,BOILED BROCCOLI ,GEKOCHTE BROKKOLI,ОТВАРНАЯ БРОККОЛИ ,0,0,0,0
40,BRÜKSEL LAHANA &TAVUK BUD,BRUSSEL SPROUTS & CHICKEN,BRÜKSEL KOHL & HUHNCHEN,БРЮССЕЛЬСКАЯ КАПУСТА & КУРИЦА,0,0,0,0
41,BRÜKSEL LAHANA&HAVUÇ,BRUSSEL SPROUTS & CARROTS,BRÜKSEL KOHL  & CARROTEN,БРЮССЕЛЬСКАЯ КАПУСТА & МОРКОВЬ,0,0,0,0
42,BRÜKSEL LAHANASI,BRUSSEL SPROUTS,BRÜKSEL KOHL ,БРЮССЕЛЬСКАЯ КАПУСТА,0,0,0,0
43,BUHARA PİLAVI,CRACKED WHEAT WITH RICE,REIS NACH BUHARA STIL,ПЛОВ НА ПАРУ,0,0,0,0
44,,CRACKED WHEAT WITH RICE,WEIZENGRUTZE REIS,ПЛОВ ИЗ ПШЕНИЧНОЙ  КРУПЫ БУЛГУР,0,0,0,0
45,HİNDİ FIRIN,TURKEY,TRUTHÄHN,ИНДЕЙКА ЗАПЕЧЁННАЯ,0,0,0,0
46,CANALONİ,CANNELONI,CANALONI ,СЛОЕНЫЕ ПИРОЖКИ,0,0,0,0
47,CONSOME ,CONSOMME,CONSOMME,МЯСНОЙ БУЛЬОН,0,0,0,0
48,CİGER  IZGARA,GRILLED LIVER ,LEBER GEGRILLTE,ПЕЧЕНЬ-ГРИЛЬ,0,0,0,0
49,ÇİN SOSLU TAVUK TAVA, CHİCKEN CHİNESE SYLE,HUHNCHEN MIT CHINESISCH SOβE,КУРИЦА В КИТАЙСКОМ СОУСЕ,0,0,0,0
50,ÇİN USULÜ ET SOTE,SAUTEED BEEF  CHINESE  STYLE,SAUTIERTE FLEISCH  NACH CHINESISCH ART,ТЕЛЯЧЕЕ РАГУ ПО- КИТАЙСКИ,0,0,0,0
51,ÇİN USULÜ MANTI ÇORBASI,RAVIOLI SOUP CHINESE STYLE,RAVIOLI SUPPE NACH CHINESISCH ART,РАВИОЛИ- СУП ПО- КИТАЙСКИ,0,0,0,0
52,ÇİNGENE KEBABI,ROMANIAN KEBAB,ROMANIAN KEBAB,ЦЫГАНСКИЙ ШАШЛЫК,0,0,0,0
53,DALYAN KÖFTE,"""DALYAN"" STYLE MEAT BALLS ",ROLLEN HACK FLEISCH,КОТЛЕТЫ,0,0,0,0
54,DANA  BLANKET,VEAL MEAT BLANQUETTE,KALBFLEISCH BLANQUETTE,ГОВЯДИНА БЛАНКЕТ,0,0,0,0
55,DANA  SOTE,SAUTEED BEEF,SAUTIERE KALBFLEISCH,ТЕЛЯЧЕЕ РАГУ,0,0,0,0
56,DANA  ŞİŞ,GRILLED  BEEF ON SKEWER,GEGRILLTE RIND AM SPEISS,ШАШЛЫК ИЗ ГОВЯДИНЫ,0,0,0,0
57,DANA ANTREKOT,FILET STEAK,ENTRECOTE,АНТРЕКОТ ,0,0,0,0
58,DANA BUT ŞOV,BAKED BEEF RUMP ,GEBACKENE RİNDERHÜFTE,ЗАПЕЧЕННАЯ ГОВЯДИНА ,0,0,0,0
59,DANA DİLİ PORTAKAL SOSLU,BEEF TONGUE WITH ORANGE SAUCE,KALBS ZUNGEN MIT APFELSINE SOβE,ГОВЯЖИЙ ЯЗЫК С АПЕЛЬСИНОВЫМ СОУСОМ,0,0,0,0
60,DANA ESKALOP,ESCALOPE OF BEEF,KALBFLEISCH ESKALOP,ТЕЛЯТИНА  ЭСКАЛОП ,0,0,0,0
61,DANA FRİKASE,BEEF FRICASSEE,KALBFLEISCH FRIKASE,ТЕЛЯТИНА ФРИКАСE,0,0,0,0
62,DANA GULAŞ,BEEF GOULASH,KALBFLEISCH GULASCH,ТЕЛЯТИНА ГУЛЯШ,0,0,0,0
63,DANA HAŞLAMA,BOILED BEEF,GEKOCHTE KALBFLEISCH,ОТВАРНАЯ  ТЕЛЯТИНА,0,0,0,0
64,DANA OSSOBUCO,BEEF OSSOBUCO,KALBFLEISCH OSSOBUCO,ТЕЛЯТИНА ОСОБУККО,0,0,0,0
65,DANA PİKATTA,BEEF WİTHMILANESSE SAUCE ,   HAHNCHEN MIT MILAGNASE SOSSE,ТЕЛЯТИНА ПИКАТА,0,0,0,0
66,DANA RAGU KÖRİ SOSLU,BEEF RAGU WITH CURRY SAUCE,KALBFLEISCH RAGU MIT CURRY SOβE,РАГУ ИЗ ГОВЯДИНЫ  С СОУСОМ КAPРИ,0,0,0,0
67,DANA SALTIM BOCCO,BEEF SALTIMBUKKO,KALBFLEISCH SALTIMBUKKO,ТЕЛЯТИНА САЛТЫМБУККО,0,0,0,0
68,DANA SOTE,SAUTEED BEEF,SAUTIERTE KALBFLEISCH,ТЕЛЯЧЕЕ РАГУ,0,0,0,0
69,SEBZELİ DANA ŞİŞ,BEEF SHISH KEBAB WITH VEGETABLES,KALBS SHISH KEBAB MIT GEMUSE,ШАШЛЫК ИЗ ТЕЛЯТИНЫ С ОВОЩАМИ,0,0,0,0
70,DENİZ MAHSÜLLERİ ENGİNAR DOLMASI,STUFFED ARTICHOKES  WITH SEAFOOD ,GEFULLTE ARTISCHOCK MIT MEERFRUCHTE,АРТИШOК C МОРЕПРОДУКТАМИ,0,0,0,0
71,DENİZ MAHSÜLLERİ FLORANTİN,SEAFOOD FLORENTINE,MEERFRUCHTE FLORANTIN,МОРЕПРОДУКТЫ ФЛОРАНТИН,0,0,0,0
72,DENİZ MAHSÜLLERİ KREP,SEAFOOD PANCAKE,CREPE MIT MEERFRUCHTE,БЛИНЫ С МОРЕПРОДУКТАМИ,0,0,0,0
73,DİL BALIĞI,SOLE,SEEZUNGE,РЫБА ПАЛТУС,0,0,0,0
74,DOMATES ÇORBASI,TOMATO SOUP,TOMATEN SUPPE,ТОМАТНЫЙ СУП,0,0,0,0
75,DOMATES DOLMA,STUFFED TOMATOES,GEFULTE TOMATO MIT REIS  ,ФАРШИРОВАННЫЕ ПОМИДОРЫ,0,0,0,0
76,DÜĞÜN ÇORBASI,WEDDING SOUP,HOCHZEIT SUPPE,СВАДЕБНЫЙ СУП,0,0,0,0
77,DÜŞES PATATES,DUCHESSE POTATOES,DUSHESH KARTOFFEL,КАРТОФЕЛЬ ,0,0,0,0
78,EKŞİLİ DOMATESLİ KABAK,ZUCCHINI &TOMATO WİTH SOUR SAUCE,TOMATEN & ZUCCHUNI SAUER SOβE,КАБАЧОК С ТОМАТОМ,0,0,0,0
79,ENGİNAR  OTURTMA,ARTICHOKE WITH  MINCEDMEAT,ARTISCHOCKEN MIT HACKFLEISCH,АРТИШОК С МЯСОМ,0,0,0,0
80,ENGİNAR ÇORBASI,ARTICHOKE SOUP,ARTISCHOCKEN SUPPE,СУП ИЗ АРТИШОКА,0,0,0,0
81,ENGİNAR DOLMASI,STUFFED ARTICHOKE   ,GEFULLTE ARTISCHOCKEN ,ФАРШИРОВАННЫЙ АРТИШОК,0,0,0,0
82,ENGİNARLI TAZE FASÜLYE SOTE,SAUTEED ARTICHOKE & GREEN BEANS,SAUTIERTE ARTISCHOCKEN & GRÜNE BOHNEN,РАГУ ИЗ АРТИШОКА СО СТРУЧКОВОЙ ФАСОЛЬЮ,0,0,0,0
83,ERİŞTELİ PATATES ÇORBASI,POTATO SOUP WITH NOODLES,KARTOFFEL SUPPE MIT NUDELN,КАРТОФЕЛЬНЫЙ СУП С ВЕРМИШЕЛЬЮ,0,0,0,0
84,ET DÖNER,DÖNER KEBAB,DÖNER KEBAB,ШАУРМА,0,0,0,0
85,ETLİ  TÜRLÜ,MIXED VEGETABLE WITH MEAT,GEMISCHTE GEMUSE MIT FLEISCH,ОВОЩИ С МЯСОМ,0,0,0,0
86,ETLİ TAZE FASULYE,GREEN BEANS WITH MEAT,GRÜNE BOHNEN MIT FLEISCH,СВЕЖАЯ ФАСОЛЬ  С МЯСОМ,0,0,0,0
87,EZOGELİN ÇORBASI,EZOGELIN SOUP,EZOGELIN SUPPE,ЭЗОГЕЛИН СУП,0,0,0,0
88,FESLEĞENLİ KUZU YAHNİ,STEWED LAMB WITH BASIL,GEDUNSTETES LAMM MIT BASILIKUM,ЯХНИЯ ИЗ БАРАНИНЫ C БАЗИЛИКОМ,0,0,0,0
89,FIRIN MAKARNA,BAKED PASTA,GEBACKENE MAKKARONI,ЗАПЕЧЁНЫЕ МАКАРОНЫ,0,0,0,0
90,FIRIN PATATES,BAKED POTATO,KARTOFFEL IM BACKOFEN ,КАРТОФЕЛЬ ЗАПЕЧЁННЫЙ,0,0,0,0
91,GULAŞ ÇORBASI,GOULASH SOUP,GULASCH SUPPE,СУП-ГУЛЯШ,0,0,0,0
92,HAMBURGER,HAMBURGER,HAMBURGER,ГАМБУРГЕР,0,0,0,0
93,HANIM PATATES,BAKED POTATO,GEBACKENE KARTOFFEL ,ЗАПЕЧЁНАЯ КАРТОШКА,0,0,0,0
94,HASAN PAŞA PİLAVI,RICE IN HASAN PASHA STYLE,REIS NACH HASAN PASCHA STIL,ПЛОВ HASAN PASA,0,0,0,0
95,HAVUÇ VİŞİ,CARROT VICHY,CARROTEN WISCHI,МОРКОВЬ ВИШИ,0,0,0,0
96,HİNDİ GÖĞÜS DOLMA,STUFFED TURKEY BREAST,ROULADE TRUTHÄHN,ФАРШИРОВАННЫЕ ГРУДКИ ИНДЕЙКИ,0,0,0,0
97,HİNDİ  ŞİŞ,TURKEY SHISH KEBAB,TRUTHÄHN AM SPIESS ,ШАШЛЫК ИЗ ИНДЕЙКИ,0,0,0,0
98,HİNDİ ACSABACA MİLANEZ,TURKEY ACSABACA,TRUTHÄHN ACSABACA,ИНДЕЙКА  АДЖСАБАДЖА,0,0,0,0
99,HİNDİ BEETRAPANAT,TURKEY BEETRAPANAT,TRUTHÄHN BEETRAPANAT,ИНДЕЙКА БЕЕТРАПАНАТ,0,0,0,0
100,HİNDİ BUT KÜLBASTI,GRILLED TURKEY LEGS,GEGRILLTE TRUTHÄHN,ИНДЕЙКА НА ГРИЛЕ,0,0,0,0
101,HİNDİ GÖĞÜS KÜLBASTI,GRILLED TURKEY BREAST,GEGRILLTE TRUTHÄHN,"ИНДЕЙКА НА ГРИЛЕ
",0,0,0,0
102,HİNDİ HAWAİ,TURKEY HAWAII,TRUTHÄHN HAWAI,ИНДЕЙКА ГАВАИ,0,0,0,0
103,HİNDİ KIZARMA MİLANEZ SOSLU,FRIED  TURKEY WITH MILANESE SAUCE,BRATEN TRUTHÄHN,"ИНДЕЙКА ЖАРЕНАЯ В СОУСЕ ""МИЛАНО""",0,0,0,0
104,HİNDİ IZGARA,GRILLED TURKEY,GEGRILLTE TRUTHÄHN,ИНДЕЙКА HA ГРИЛЬ,0,0,0,0
105,HİNDİ KÜL BASTI,TURKEY CUTLET,GEGRILLTE TRUTHÄHN,"ИНДЕЙКА НА ГРИЛЕ
",0,0,0,0
106,HİNDİ OSSO BUCO,TURKEY OSSOBUCA,TRUTHÄHN OSSOBUCA,ОССОБУКА ИЗ ИНДЕЙКИ,0,0,0,0
107,PATLICAN KEBAP,AUBERGINE KEBAB,KEBAB MIT AUBERGINEN,КЕБАБ С БАКЛАЖАНАМИ,0,0,0,0
108,HİNDİ PİCATTA,TURKEY PIKATA,TRUTHÄHN PIKATA,ИНДЕЙКА ПИКАТА,0,0,0,0
109,HİNDİ SALTIM BOCCO,TURKEY SALTIMBUCCO,TRUTHÄHN SALTIMBUCCO,САЛТЫМБУККО ИЗ ИНДЕЙКИ,0,0,0,0
110,HİNDİ SOTE ,SAUTEED TURKEY, SAUTIERTE TRUTHÄHN,РАГУ ИЗ ИНДЕЙКИ,0,0,0,0
111,HİNDİ STEAK MADAGASGAR,TURKEY MADAGASKAR,TRUTHÄHN MADAGASCAR,СТЕЙК ИЗ ИНДЕЙКИ ПО МАДАГАСКАРСКИ,0,0,0,0
112,HİNDİ SUPREM SOSLU,TURKEY WITH SUPREME SAUCE,TRUTHÄHN MIT SUPREM SOβE,ИНДЕЙКА  С СОУСОМ  СУПРЕМ,0,0,0,0
113,HİNDİ TÜRLÜ,TURKEY WITH VEGETABLES,TRUTHÄHN MIT GEMUSE,ИНДЕЙКА С ОВОЩАМИ,0,0,0,0
114,ISPANAK YATAĞINDA POŞE YUMURTA,SPINACH WITH EGG,SPINAT MIT EI,ЯЙЦА СО ШПИНАТОМ,0,0,0,0
115,ISPANAKLI KOL BÖREĞİ,TURKISH PASTRY WITH SPINACH ,TEIG MIT SPINAT,ПИРОЖОК С ШПИНАТОМ,0,0,0,0
116,ISPANAKLI MEZGİT FİLETOSU,FILLEt OF HADDOCK WITH SPINACH,FILET WEISSFISCH MIT SPINAT,РЫБНОЕ ФИЛЕ СО ШПИНАТОМ,0,0,0,0
117,IZGARA KÖFTE,GRILLED MEAT BALLS,GEGRİLLTE  FRIKADELLEN,КОТЛЕТЫ HAГРИЛЬ,0,0,0,0
118,İNEGÖL KÖFTE,İNEGÖL STYLE MEATBALLS,NACH İNEGÖL ART FRİKADELLEN,КОТЛЕТЫ  ПО- ИННЕГЁЛЬСКИ,0,0,0,0
119,İSLİM KEBAB,LAMB WITH AUBERGINE,KALB KEBAB MIT AUBERGİNEN,ГОВЯДИНА С БАКЛАЖАНОМ,0,0,0,0
120,İSTANBUL PİLAVI,RICE IN ISTANBUL STYLE,REIS NACH ISTANBUL STIL,ПЛОВ ПО СТАМБУЛЬСКИ,0,0,0,0
121,İŞKEMBE ÇORBASI,TRIPE SOUP ,PANSEN SUPPE,СУП ХАШ (С ПОТРОШКАМИ),0,0,0,0
122,İZMİR KÖFTE,MEATBALLS IN İZMİR STYLE,FRİKADELLE  NACH İZMİR ART,КОТЛЕТЫ ПО-ИЗМИРСКИ,0,0,0,0
123,JAMBONLU BEZELYE ÇORBASI,PEA SOUP WITH HAM,ERBSEN SUPPE MIT SCHINKEN,СУП С ЗЕЛЁНЫМ  ГОРОШКОМ И КОЛБАСОЙ,0,0,0,0
124,JÜLYEN SEBZE SOTE MANTARLI,SAUTEED MUSHROOMS WITH JULIENNE VEGETABLES,SAUTIERTE GEMUSE&CHAMPIGNON,ОВОЩНОЙ И ГРИБНОЙ РАГУ -ЖУЛЬЕН ,0,0,0,0
125,KADIN BUDU KÖFTE,FRIED MEATBALLS,GEBRATEN FRIKADELLE,КОТЛЕТЫ ПО-ТУРЕЦКИ,0,0,0,0
126,KALAMAR SOTE,SAUTEED SQUID,CALAMARİS SAUTIERTE,РАГУ ИЗ КАЛЬМАРОВ,0,0,0,0
127,KALAMAR SOTE TERİYAKİ SOSLU,SAUTEED SQUID WITH TERIYAKI SAUCE,CALAMARİS SAUTIERTE MIT TERIYAKI SOβE,РАГУ ”КАЛЬМАР” С СОУСОМ ТИРИЯКИ,0,0,0,0
128,PİLİÇ KANAT IZGARA,GRILLED CHICKEN WINGS ,HÜHNER FLÜGEL GEGRILLT,КУРИНЫЕ КРЫЛЫШКИ НА ГРИЛЕ ,0,0,0,0
129,KARIŞIK DOLMA,MIXED STUFFED VINE LEAVES,GEMISCHTE  GEFULLTE,АССОРТИ ФАРШИРОВАННЫЕ,0,0,0,0
130,KARIŞIK SEBZE BUKETİ,MIXED VEGETABLES,GEMISCHTE GEMUSE,ОВОЩНОЕ АССОРТИ,0,0,0,0
131,KARIŞIK SEBZE brokoli&mısır&bezelye,"MIXED VEGETABLES BROCCOLI, SWEET CORN & PEAS",BROKKOLI&MAISE&ERBSTEN,"АССОРТИ ИЗ БРОККОЛИ,КУКУРУЗЫ И ГОРОХА",0,0,0,0
132,HİNDİ GÜVEÇ,TURKEY STEW,TRUTHAHN CASSEROLE,тушеная индейка с овощами,0,0,0,0
133,KARİDES GÜVEÇ,SHRIMP CASSEROLE,GARNELA CASSEROLE,ТУШЕНЫЕ КРЕВЕТКИ с овощами,0,0,0,0
134,KARİDESLİ ZEYTİNLİ PİLİÇ EMENSE,CHICKEN EMENCE WITH SHRIMPS & OLIVES,HUHNCHEN EMENCE MIT GARNELA,КУРИНЫЙ ЭМАНСЕ С КРЕВЕТКАМИ И РИСОМ,0,0,0,0
135,KARNIBAHAR ÇORBASI,CAULIFLOWER SOUP,BLUMENKOHL SUPPE,СУП ИЗ ЦВЕТНОЙ КАПУСТЫ,0,0,0,0
136,KARNABAHAR GRATEN,CAULIFLOWER GRATiN,BLUMENKOHL GRATIN,ЦВЕТНАЯ КАПУСТА ГРАТЕН,0,0,0,0
137,KARNIYARIK,AUBERGINES WITH  MINCED MEAT,AUBERGINENN MIT  HACKFLEISCH,ФАРШИРОВАННЫЕ БАКЛАЖАНЫ,0,0,0,0
138,KAŞARLI  KÖFTE,MEAT BALLS WITH CHEESE,FRİKADELLE  MIT KASE,КОТЛЕТЫ С СЫРОМ,0,0,0,0
139,KAŞARLI IZGARA KÖFTE,GRILLED MEAT BALLS WITH CHEESE,GEGRILLTE FRİKADELLE  MIT KASE,КОТЛЕТЫ-ГРИЛЬ С СЫРОМ,0,0,0,0
140,KEMİKLİ TAVUK GÜVEÇ,CHICKEN CASSEROLE,HUHNCHEN CASSAROLLE,ТУШЕНАЯ КУРИЦА,0,0,0,0
141,KESTANE SOSLU HİNDİ ROTİ,ROAST TURKEY WITH CHESTNUT SAUCE,TRUTHAHN ROTI MIT KASTANIE SOβE,ИНДЕЙКА РОТИ С КАШТАНОВЫМ СОУСОМ,0,0,0,0
142,KILIÇ BALIĞI ŞİŞ,SWORDFİSH SHISH KEBAB,SWORDFISH ON SKEWER,ШАШЛЫК ИЗ РЫБЫ-МЕЧЬ,0,0,0,0
143,KILIÇ BALIĞI SAFRAN SOSLU,SWORDFISH WITH SAFFRON SAUCE,SCHWERTFISCH SAFRAN SOβE,РЫБА-МЕЧЬ  С ШАФРАНОМ,0,0,0,0
144,KILIÇ ŞİŞ,SWORDFİSH SHISH KEBAB,KILIÇ ŞİŞ,ШАШЛЫК ИЗ РЫБЫ-МЕЧЬ,0,0,0,0
145,KIRMIZI LAHANA BREEZE,RED CABBAGE BREEZE,ROT KOHL,КРАСНАЯ КАПУСТА,0,0,0,0
146,KIYMALI  ISPANAK,SPINACH WITH MINCED MEAT,SPINAT MIT HACKFLEISCH,ШПИНАТ С ФАРШЕМ,0,0,0,0
147,KOL BÖREGİ  PATATESLİ,TURKISH PASTRY WITH POTATOES,TEIG MIT KARTOFEL,ПИРОГ С КАРТОФЕЛЕМ,0,0,0,0
148,KÖRİLİ TAVUK SOTE,SAUTEED CHICKEN WITH CURRY ,SAUTE HUHNCHEN MIT CURRY SOβE,ГАВАИ РАГУ С СОУСОМ КAPРИ,0,0,0,0
149,KÖY USULÜ MERCİMEK ÇORBASI,LENTIL SOUP,LINSEN SUPPE ,ЧЕЧЕВИЧНЫЙ СУП ПО-ДЕРЕВЕНСКИ,0,0,0,0
150,KÖYLÜ BİFTEK,STEAK IN VILLAGE STYLE,STEAK NACH DORFES ART,БИФШТЕКС ПО-ДЕРЕВЕНСКИ,0,0,0,0
151,KREMALI ISPANAK SOTE,CREAMED SPINACH,SAUTE SPINAT MIT SAHNE,РАГУ ИЗ ШПИНАТА СО СЛИВКАМИ,0,0,0,0
152,KREMALI KARİDES ÇORBASI,CREAM OF SHRIMP SOUP,GARNELA SUPPE MIT SAHNE,СУП ИЗ КРЕВЕТОК,0,0,0,0
153,MANTAR ÇORBASI,MUSHROOM SOUP,CHAMPIGNON SUPPE,"ГРИБНОЙ СУП
",0,0,0,0
154,KREMALI MANTAR ÇORBASI,CREAM OF MUSHROOM SOUP,CHAMPIGNON SUPPE MIT SAHNE,ГРИБНОЙ СУП СО СЛИВКАМИ,0,0,0,0
155,KREMALI HAVUÇ  ,CREAMED CARROTS,CARROTEN MIT SAHNE,МОРКОВЬ СО СЛИВКАМИ,0,0,0,0
156,KUŞ ÜZÜMLÜ PİLAV,RICE WITH RAISINS,REIS MIT JOHANNISBEERE,РИС СО СМОРОДИНОЙ,0,0,0,0
157,KUŞKONMAZ ÇORBASI,ASPARAGUS SOUP,SPARGEL SUPPE,"СУП ИЗ СПАРЖИ
",0,0,0,0
158,KUZU  ET SOTE,SAUTEED LAMB,SAUTIERTE LAMM,РАГУ ИЗ ЯГНЕНКА,0,0,0,0
159,KUZU KOL PROVANSAL,LAMB PROVENCALE,LAMM PROVANSAL,БАРАНИНА ПРОВАНСАЛЬ,0,0,0,0
160,KUZU PİRZOLA,LAMB CUTLET,LAMM KOTELETT,АНТРЕКОТ ИЗ ЯГНЕНКА,0,0,0,0
161,KUZU ŞİŞ  DOMATESLİ  VE  BİBERLİ,LAMB SHISH KEBAB WITH TOMATOES AND PEPPERS,LAMM AM SPIESS,ЯГНЕНОК НА ШАМПУРЕ С ПОМИДОРАМИ,0,0,0,0
162,KUZU CİĞERİ,LAMBS LIVER,LAMM LEBER,ПЕЧЕНЬ БАРАНИНЫ,0,0,0,0
163,KUZU ÇÖP ŞİŞ,LAMB SHISH KEBAB,LAMM AM SPIESS,ШАШЛЫК ИЗ ЯГНЁНКА,0,0,0,0
164,KUZU EMENSE,LAMB EMENSE,LAMM EMENSE,СОТЕ ИЗ  ЯГНЁНКА С СОУСОМ,0,0,0,0
165,KUZU KAĞIT KEBAP,LAMB WITH VEGETABLES,LAMM MIT GEMUSE,ЯГНЕНОК С ОВОЩАМИ,0,0,0,0
166,KUZU KAPAMA,BAKED LAMB,GEKOCTE LAMMKEULE,ТУШЁНАЯ БАРАНИНA,0,0,0,0
167,KUZU KOL SARMA ,STUFFED LEG OF LAMB,GEFULLTE LAMMROLLEN,РУЛЕТИКИ ИЗ БАРАНИНЫ,0,0,0,0
168,KUZU KÜLBASTI,GRILLED LAMB,GEGRILLTE LAMM,БАРАНИНА HA ГРИЛЬ,0,0,0,0
169,KUZU ORYANTEL,ORIENTAL LAMB,LAMM ORYANTEL,БАРАНИНА ПО ВОСТОЧНОМУ,0,0,0,0
170,KUZU RÖNESANS,LAMB RENAISSANCE,LAMM RONASAINСE,БАРАНИНА РЕНЕССАНС,0,0,0,0
